cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj
19119,"""Lyon, (IA)""",470.2,425.4 - 477.1 (642),9.1,33.8,30.9
19121,"""Madison, (IA)""",422.5,139.6 - 425.3 (645),8.7,32.6,26.2
19123,"""Mahaska, (IA)""",515.4,477.2 - 529.3 (644),9.7,33.5,26.1
19125,"""Marion, (IA)""",474.6,425.4 - 477.1 (642),8.2,32.3,24.4
19127,"""Marshall, (IA)""",457.9,425.4 - 477.1 (642),8.6,34,27
19129,"""Mills, (IA)""",448.5,425.4 - 477.1 (642),9.2,38.3,27.3
19131,"""Mitchell, (IA)""",427.6,425.4 - 477.1 (642),7.3,31.3,21.3
19133,"""Monona, (IA)""",528.4,477.2 - 529.3 (644),8.6,34.4,28.2
19135,"""Monroe, (IA)""",595.8,529.4 - 604.5 (642),8.1,31.3,27.9
19137,"""Montgomery, (IA)""",478.5,477.2 - 529.3 (644),9.1,37.5,29.6
19139,"""Muscatine, (IA)""",481.3,477.2 - 529.3 (644),7.8,32.5,22.4
19141,"""O'Brien, (IA)""",443.9,425.4 - 477.1 (642),7.5,34.4,20.5
19143,"""Osceola, (IA)""",523,477.2 - 529.3 (644),8.7,34,26.7
19145,"""Page, (IA)""",493.1,477.2 - 529.3 (644),9.3,38,23.7
19147,"""Palo Alto, (IA)""",457.1,425.4 - 477.1 (642),8.6,36.9,24.1
19149,"""Plymouth, (IA)""",417.4,139.6 - 425.3 (645),8.3,33.6,24.3
19151,"""Pocahontas, (IA)""",489,477.2 - 529.3 (644),8.6,32.4,25.3
19153,"""Polk, (IA)""",441.8,425.4 - 477.1 (642),8,29.3,20.9
19155,"""Pottawattamie, (IA)""",449.6,425.4 - 477.1 (642),10.3,36.8,24.7
19157,"""Poweshiek, (IA)""",460.2,425.4 - 477.1 (642),8.9,32.3,23.8
19159,"""Ringgold, (IA)""",448.4,425.4 - 477.1 (642),8.5,36.2,28.5
19161,"""Sac, (IA)""",429.2,425.4 - 477.1 (642),7.5,33.4,26.3
19163,"""Scott, (IA)""",451.5,425.4 - 477.1 (642),8,32.6,23.3
19165,"""Shelby, (IA)""",454.5,425.4 - 477.1 (642),8.1,28.3,24.3
19167,"""Sioux, (IA)""",323.2,139.6 - 425.3 (645),7.5,28.3,21.7
19169,"""Story, (IA)""",428.7,425.4 - 477.1 (642),7.7,27.5,20.3
19171,"""Tama, (IA)""",449.3,425.4 - 477.1 (642),7.7,32.3,27.4
19173,"""Taylor, (IA)""",487.5,477.2 - 529.3 (644),7.5,30.3,21.5
19175,"""Union, (IA)""",525.8,477.2 - 529.3 (644),9.5,39.6,24.5
19177,"""Van Buren, (IA)""",536.6,529.4 - 604.5 (642),7.3,34.9,24
19179,"""Wapello, (IA)""",578.8,529.4 - 604.5 (642),10.4,35.4,30.3
19181,"""Warren, (IA)""",433.9,425.4 - 477.1 (642),8.8,32.2,22.4
19183,"""Washington, (IA)""",408.2,139.6 - 425.3 (645),7.9,31.4,22.3
19185,"""Wayne, (IA)""",624.5,604.6 - 949.9 (643),8.9,33.9,27.8
19187,"""Webster, (IA)""",576.2,529.4 - 604.5 (642),8.5,31.5,28.1
19189,"""Winnebago, (IA)""",428.3,425.4 - 477.1 (642),7.2,29.7,26
19191,"""Winneshiek, (IA)""",402.4,139.6 - 425.3 (645),6.4,28.8,21.3
19193,"""Woodbury, (IA)""",443.7,425.4 - 477.1 (642),9.1,34.6,27.6
19195,"""Worth, (IA)""",461.2,425.4 - 477.1 (642),9.6,34.9,30.4
19197,"""Wright, (IA)""",457.7,425.4 - 477.1 (642),8,33.3,25.8
20001,"""Allen, (KS)""",545.1,529.4 - 604.5 (642),12.2,37.3,28.3
20003,"""Anderson, (KS)""",489.7,477.2 - 529.3 (644),8.2,36.8,29.9
20005,"""Atchison, (KS)""",459.9,425.4 - 477.1 (642),8.2,39.9,32.3
20007,"""Barber, (KS)""",583.2,529.4 - 604.5 (642),7.4,34.8,25.5
20009,"""Barton, (KS)""",496.8,477.2 - 529.3 (644),8.5,36.4,24.8
20011,"""Bourbon, (KS)""",548.3,529.4 - 604.5 (642),10.9,34.8,29.5
20013,"""Brown, (KS)""",503.1,477.2 - 529.3 (644),8.8,32.9,27.6
20015,"""Butler, (KS)""",488.6,477.2 - 529.3 (644),9.2,33.6,25.7
20017,"""Chase, (KS)""",481.3,477.2 - 529.3 (644),9.3,29.7,27.5
20019,"""Chautauqua, (KS)""",551.3,529.4 - 604.5 (642),9.8,35.1,33.5
20021,"""Cherokee, (KS)""",647.8,604.6 - 949.9 (643),10.9,39.2,27.4
20023,"""Cheyenne, (KS)""",492.3,477.2 - 529.3 (644),9.2,35,28.8
20025,"""Clark, (KS)""",468.9,425.4 - 477.1 (642),9.2,33.6,28.7
20027,"""Clay, (KS)""",416.5,139.6 - 425.3 (645),10.3,35.2,29.5
20029,"""Cloud, (KS)""",420.3,139.6 - 425.3 (645),10.3,35.5,30.4
20031,"""Coffey, (KS)""",510,477.2 - 529.3 (644),7.7,32.4,25.5
20033,"""Comanche, (KS)""",615.6,604.6 - 949.9 (643),8.2,32.7,27.8
20035,"""Cowley, (KS)""",519,477.2 - 529.3 (644),10.1,36.8,26.5
20037,"""Crawford, (KS)""",572.6,529.4 - 604.5 (642),11,34.8,28
20039,"""Decatur, (KS)""",459.5,425.4 - 477.1 (642),8.8,35.5,25.7
20041,"""Dickinson, (KS)""",470.1,425.4 - 477.1 (642),8.3,32.2,29
20043,"""Doniphan, (KS)""",555.5,529.4 - 604.5 (642),9,34.3,32.2
20045,"""Douglas, (KS)""",370.8,139.6 - 425.3 (645),6.7,26.3,18.3
20047,"""Edwards, (KS)""",471.5,425.4 - 477.1 (642),8.8,36.4,28.6
20049,"""Elk, (KS)""",527,477.2 - 529.3 (644),9,34.8,25.4
20051,"""Ellis, (KS)""",467.6,425.4 - 477.1 (642),8.5,31.8,23.6
20053,"""Ellsworth, (KS)""",485.5,477.2 - 529.3 (644),9.1,34.3,29.1
20055,"""Finney, (KS)""",365.6,139.6 - 425.3 (645),9.7,37,26.1
20057,"""Ford, (KS)""",463.1,425.4 - 477.1 (642),9.4,32.3,29
20059,"""Franklin, (KS)""",482.1,477.2 - 529.3 (644),7.6,33.6,28
20061,"""Geary, (KS)""",480.3,477.2 - 529.3 (644),10.4,35.5,27.5
20063,"""Gove, (KS)""",517.2,477.2 - 529.3 (644),9.1,28.6,23.8
20065,"""Graham, (KS)""",548.7,529.4 - 604.5 (642),9.2,29.7,27.6
20067,"""Grant, (KS)""",490.9,477.2 - 529.3 (644),7.3,34,24.5
20069,"""Gray, (KS)""",428.1,425.4 - 477.1 (642),7.4,37.8,26
20071,"""Greeley, (KS)""",465.7,425.4 - 477.1 (642),8,32.6,25.5
20073,"""Greenwood, (KS)""",519.8,477.2 - 529.3 (644),10.2,35.3,29.2
20075,"""Hamilton, (KS)""",475.6,425.4 - 477.1 (642),8.7,39.1,25.7
20077,"""Harper, (KS)""",533.6,529.4 - 604.5 (642),8.6,36.5,36.1
20079,"""Harvey, (KS)""",423.7,139.6 - 425.3 (645),8.7,31.4,24.6
20081,"""Haskell, (KS)""",454.1,425.4 - 477.1 (642),8.3,34.2,22.8
20083,"""Hodgeman, (KS)""",446.9,425.4 - 477.1 (642),10.9,32.5,24.2
20085,"""Jackson, (KS)""",494.2,477.2 - 529.3 (644),8.1,34.1,28.8
20087,"""Jefferson, (KS)""",432.2,425.4 - 477.1 (642),8.3,31.1,24.5
20089,"""Jewell, (KS)""",459.3,425.4 - 477.1 (642),8.8,31.5,24.4
20091,"""Johnson, (KS)""",419,139.6 - 425.3 (645),7.2,26.4,17.7
20093,"""Kearny, (KS)""",425.3,139.6 - 425.3 (645),8.1,31.3,24
20095,"""Kingman, (KS)""",474.8,425.4 - 477.1 (642),10.6,32.3,26.8
20097,"""Kiowa, (KS)""",483,477.2 - 529.3 (644),8.3,31.8,25.1
20099,"""Labette, (KS)""",521.1,477.2 - 529.3 (644),9.6,36.3,32.1
20101,"""Lane, (KS)""",487.7,477.2 - 529.3 (644),9,31.1,26.2
20103,"""Leavenworth, (KS)""",440.5,425.4 - 477.1 (642),9.9,34.5,25.5
20105,"""Lincoln, (KS)""",489.2,477.2 - 529.3 (644),8.1,33.5,20.4
20107,"""Linn, (KS)""",526,477.2 - 529.3 (644),9.1,33.5,32.4
20109,"""Logan, (KS)""",503.3,477.2 - 529.3 (644),10.1,32.7,25.3
20111,"""Lyon, (KS)""",487.2,477.2 - 529.3 (644),9.9,37.5,24.7
20113,"""McPherson, (KS)""",438.5,425.4 - 477.1 (642),8.2,31.4,24.1
20115,"""Marion, (KS)""",458.1,425.4 - 477.1 (642),7,34.2,29
20117,"""Marshall, (KS)""",438,425.4 - 477.1 (642),7.8,32.9,25.6
20119,"""Meade, (KS)""",469.1,425.4 - 477.1 (642),7.7,29.7,23.9
20121,"""Miami, (KS)""",458.9,425.4 - 477.1 (642),9.4,34.4,25.7
20123,"""Mitchell, (KS)""",442.6,425.4 - 477.1 (642),8.6,33.7,24
20125,"""Montgomery, (KS)""",537.4,529.4 - 604.5 (642),11.6,38,28.6
20127,"""Morris, (KS)""",473.2,425.4 - 477.1 (642),10.5,40.9,29.9
20129,"""Morton, (KS)""",507.2,477.2 - 529.3 (644),8.8,30.7,30.4
20131,"""Nemaha, (KS)""",507.7,477.2 - 529.3 (644),7,32.3,29.9
20133,"""Neosho, (KS)""",545.7,529.4 - 604.5 (642),10.6,36.4,28.5
20135,"""Ness, (KS)""",439.6,425.4 - 477.1 (642),8.5,34.7,26.9
20137,"""Norton, (KS)""",513.8,477.2 - 529.3 (644),8.6,34.4,22.6
20139,"""Osage, (KS)""",509.8,477.2 - 529.3 (644),8.1,36,27.9
20141,"""Osborne, (KS)""",464.4,425.4 - 477.1 (642),10.2,33.8,26.6
20143,"""Ottawa, (KS)""",470.4,425.4 - 477.1 (642),10.1,38.9,27.3
20145,"""Pawnee, (KS)""",479,477.2 - 529.3 (644),10.7,31.1,23.6
20147,"""Phillips, (KS)""",520.3,477.2 - 529.3 (644),7.3,29,29
20149,"""Pottawatomie, (KS)""",526,477.2 - 529.3 (644),8.3,29.6,23.4
20151,"""Pratt, (KS)""",441.8,425.4 - 477.1 (642),9.6,35.4,29.8
20153,"""Rawlins, (KS)""",466.4,425.4 - 477.1 (642),8.9,35,28.4
20155,"""Reno, (KS)""",427.7,425.4 - 477.1 (642),10.4,35.9,27.3
